Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,0,0.0,0,0.0,0.0,0.0,0.0,0.00,0.00,
Credit/debit,,192,6739.71,400.26,0.0,541.99,0.0,0.0,400.26,7139.97,6.4
Credit/debit,AMEX,15,603.57,63.16,0.0,48.62,0.0,0.0,63.16,666.73,11.1
Credit/debit,DISCOVER,6,235.39,36.57,0.0,18.94,0.0,0.0,36.57,271.96,16.4
Credit/debit,MASTERCARD,27,1005.07,43.0,0.0,80.77,0.0,0.0,43.00,1048.07,4.6
Credit/debit,VISA,144,4895.68,257.53,0.0,393.66,0.0,0.0,257.53,5153.21,5.7
Gift Card,,2,18.96,0.0,0.0,1.53,0.0,0.0,0.00,18.96,0.0
Other,,342,12367.96,81.57,0.0,990.91,0.0,0.0,81.57,12449.53,0.7
Other,DOORDASH,311,11235.34,81.57,0.0,904.04,0.0,0.0,81.57,11316.91,0.8
Other,Grubhub,9,359.89,0.0,0.0,28.89,0.0,0.0,0.00,359.89,0.0
Other,Uber Eats,22,772.73,0.0,0.0,57.98,0.0,0.0,0.00,772.73,0.0
Total,,536,19126.63,481.83,0.0,1534.43,0.0,0.0,481.83,19608.46,2.7
